,store,rental_area,annual_rental_cost_of_sq_m,shopping center,floor,target_audience,relative_interest_target audience,parking_500_m,nearest_metro,nearest_hypermarket,presence_on_market,annual_sales_per_sq_m,nearest_sportmaster,address,nearest_store,nearest_competitor
0,Академическая,172,13200,0,1,22369,0.0196,1,177,400,28,387147,700,"г. Санкт-Петербург, пр. Науки, д.19, к.2",2500,600
1,Балтийская,117,9600,0,1,14369,0.0184,1,430,400,16,199322,3000,"г. Санкт-Петербург, набережная Обводного канала 118АЖ",6000,150
2,Богатырский,183,15079,0,1,30176,0.0175,1,1440,0,68,257479,2000,"г. Санкт-Петербург, Богатырский пр., д.13А (при гипермаркете ""ОКЕЙ"")",2000,1000
3,Звездная,423,15915,1,1,9723,0.019,1,440,0,108,209175,2500,"г. Санкт-Петербург, ул. Звёздная, д. 1, ТРК «Континент»",400,700
4,Звездная - 2,395,9418,0,1,9723,0.019,1,440,0,9,99026,2500,"г. Санкт-Петербург, Московское шоссе д.36",400,400
5,Купчино,194,18576,1,2,11904,0.0179,1,590,700,72,194142,450,"г. Санкт-Петербург, Балканская пл., д. 5",3000,200
6,Лахта,70,16457,0,1,54,0.0812,1,3600,5000,8,99026,5000,"г. Санкт-Петербург, Лахтинский пр-т, д. 85, ТВЦ «Гарден Сити»",4000,70
7,МаксиСопот,320,10786,1,3,11534,0.0210999999999999,1,100,1650,32,78220,1500,"г. Санкт-Петербург, ул. Железноводская, д. 68, ТК «Макси Сопот»",3000,4000
8,Меркурий,842,18018,1,2,16880,0.0225,1,610,100,110,179249,10,"г. Санкт-Петербург, ул. Савушкина, д. 141",4000,1500
9,Мурино,72,18333,1,1,12567,0.019,1,91,2770,33,417117,6000,"г. Мурино, Тихая ул., д. 12",6000,4000
10,Озерки,697,9306,0,1,14424,0.0227,1,720,800,160,157473,3000,"г. Санкт-Петербург, пр-т Энгельса, д. 109, к. 2",4000,1500
11,Просвещение,298,11517,0,1,11567,0.0187999999999999,1,2730,2150,9,78220,1500,"г. Санкт-Петербург, пр-т Просвещения, д. 53, к. 1",4000,3000
